planning_unit,policy,reorder_point,order_quantity,safety_stock,days,units_demanded,units_shipped,units_lost,stockout_days,orders_placed,cycles,cycles_with_stockout,mean_on_hand,holding_cost,ordering_cost,total_cost,fill_rate,stockout_day_rate,realised_cycle_service_level
Nike Men's CJ Elite 2 TD Football Cleat,flat_baseline,126.0883542998233,426.42678119789963,42.02945143327443,250,5348.0,5348.0,0.0,0,12,12,0,237.6699178796859,3438.6239821981503,3000.0,6438.623982198151,1.0,0.0,1.0
Under Armour Girls' Toddler Spine Surge Runni,segmented,199.0490861919712,921.3257038853768,78.333705470834,250,7616.0,7614.317569217674,1.6824307823262643,1,8,8,1,531.7831965295727,2366.936147208681,2000.0,4366.936147208681,0.9997790925968584,0.004,0.875
Under Armour Girls' Toddler Spine Surge Runni,demand_only,154.79060095766064,921.3257038853768,34.07522023652344,250,7616.0,7570.059083983365,45.94091601663649,4,8,8,4,469.09987675455454,2087.9363285405097,2000.0,4087.9363285405097,0.9939678419095804,0.016,0.5
Under Armour Girls' Toddler Spine Surge Runni,flat_baseline,181.07307108170582,921.3257038853768,60.357690360568604,250,7616.0,7596.341554107408,19.658445892591317,1,8,8,1,514.9576463863646,2292.0465999448143,2000.0,4292.046599944814,0.9974187964951954,0.004,0.875
adidas Youth Germany Black/Red Away Match Soc,segmented,11.335429088136411,131.9768388067463,6.999538705336345,250,99.0,99.0,0.0,0,1,1,0,79.86978276077167,622.2731362354642,250.0,872.2731362354642,1.0,0.0,1.0
adidas Youth Germany Black/Red Away Match Soc,demand_only,10.8608511860979,131.9768388067463,6.524960803297833,250,99.0,99.0,0.0,0,1,1,0,79.39520485873317,618.5756542932121,250.0,868.5756542932121,1.0,0.0,1.0
adidas Youth Germany Black/Red Away Match Soc,flat_baseline,6.5038355742000995,131.9768388067463,2.167945191400033,250,99.0,99.0,0.0,0,1,1,0,75.03818924683533,584.6297278648985,250.0,834.6297278648985,1.0,0.0,1.0
LIJA Women's Eyelet Sleeveless Golf Polo,segmented,11.069895792571032,135.64568384092775,6.816751409442723,250,88.0,88.0,0.0,0,1,1,0,85.26560137596101,616.8615852969782,250.0,866.8615852969782,1.0,0.0,1.0
LIJA Women's Eyelet Sleeveless Golf Polo,demand_only,10.600766913493862,135.64568384092775,6.347622530365554,250,88.0,88.0,0.0,0,1,1,0,84.79647249688381,613.4676306495447,250.0,863.4676306495447,1.0,0.0,1.0
LIJA Women's Eyelet Sleeveless Golf Polo,flat_baseline,6.379716574692463,135.64568384092775,2.1265721915641542,250,88.0,87.20255849515634,0.7974415048436612,1,1,1,1,81.30906834253861,588.2376947726466,250.0,838.2376947726466,0.9909381647176857,0.004,0.0
Titleist Pro V1x High Numbers Personalized Go,segmented,9.571103310699417,148.99168119449652,5.466901726980271,250,84.0,84.0,0.0,0,1,1,0,91.3960892122128,528.8688083214798,250.0,778.8688083214798,1.0,0.0,1.0
Titleist Pro V1x High Numbers Personalized Go,demand_only,9.241908871832365,148.99168119449652,5.137707288113219,250,84.0,84.0,0.0,0,1,1,0,91.06689477334577,526.9639054739913,250.0,776.9639054739913,1.0,0.0,1.0
Titleist Pro V1x High Numbers Personalized Go,flat_baseline,6.15630237557872,148.99168119449652,2.0521007918595733,250,84.0,84.0,0.0,0,1,1,0,87.9812882770921,509.10886326497916,250.0,759.1088632649792,1.0,0.0,1.0
Nike Men's Comfort 2 Slide,segmented,10.17010089150039,167.8373030175456,5.663202109378692,250,104.0,104.0,0.0,0,1,1,0,116.18948378329223,581.8128931328122,250.0,831.8128931328122,1.0,0.0,1.0
Nike Men's Comfort 2 Slide,demand_only,9.785365785896758,167.8373030175456,5.27846700377506,250,104.0,104.0,0.0,0,1,1,0,115.8047486776886,579.8863517833513,250.0,829.8863517833513,1.0,0.0,1.0
Nike Men's Comfort 2 Slide,flat_baseline,6.760348173182545,167.8373030175456,2.2534493910608484,250,104.0,104.0,0.0,0,1,1,0,112.77973106497441,564.7387309167887,250.0,814.7387309167887,1.0,0.0,1.0
Titleist Pro V1 High Numbers Personalized Gol,segmented,8.958862612776372,145.649954492694,5.03670222833509,250,92.0,92.0,0.0,0,1,1,0,106.69260199704478,617.3829729615503,250.0,867.3829729615503,1.0,0.0,1.0
Titleist Pro V1 High Numbers Personalized Gol,demand_only,8.63174705428096,145.649954492694,4.709586669839678,250,92.0,92.0,0.0,0,1,1,0,106.36548643854938,615.4900996767516,250.0,865.4900996767516,1.0,0.0,1.0
Titleist Pro V1 High Numbers Personalized Gol,flat_baseline,5.883240576661922,145.649954492694,1.9610801922206405,250,92.0,92.0,0.0,0,1,1,0,103.6169799609303,599.5857064142876,250.0,849.5857064142876,1.0,0.0,1.0
Titleist Pro V1x Golf Balls,segmented,9.089300747621618,151.17145495243258,5.189205963092806,250,103.0,100.67502822383791,2.324971776162087,1,1,1,1,94.62316933902024,505.4157424837721,250.0,755.4157424837721,0.9774274584838633,0.004,0.0
Titleist Pro V1x Golf Balls,demand_only,8.77610414876013,151.17145495243258,4.876009364231317,250,103.0,100.36183162497642,2.6381683750235823,1,1,1,1,94.58809131994775,505.22837840393595,250.0,755.228378403936,0.9743867148055962,0.004,0.0
Titleist Pro V1x Golf Balls,flat_baseline,5.850142176793218,151.17145495243258,1.9500473922644062,250,103.0,97.4358696530095,5.5641303469904955,2,1,1,1,94.26264010047542,503.49002858030536,250.0,753.4900285803053,0.9459793170195098,0.008,0.0
Under Armour Men's Compression EV SL Slide,segmented,8.712062775790539,153.00737029541227,4.966427190649006,250,68.0,68.0,0.0,0,1,1,0,113.21705453619349,566.9286058154448,250.0,816.9286058154448,1.0,0.0,1.0
Under Armour Men's Compression EV SL Slide,demand_only,8.410156754898631,153.00737029541227,4.664521169757099,250,68.0,68.0,0.0,0,1,1,0,112.91514851530157,565.4168268682472,250.0,815.4168268682472,1.0,0.0,1.0
Under Armour Men's Compression EV SL Slide,flat_baseline,5.618453377712299,153.00737029541227,1.8728177925707663,250,68.0,68.0,0.0,0,1,1,0,110.12344513811529,551.4375150943966,250.0,801.4375150943966,1.0,0.0,1.0
TYR Boys' Team Digi Jammer,segmented,9.286599908391082,167.92948761963146,5.2761771242999265,250,93.0,93.0,0.0,0,1,1,0,120.19601070529852,534.9854684113391,250.0,784.9854684113391,1.0,0.0,1.0
TYR Boys' Team Digi Jammer,demand_only,8.960652885361231,167.92948761963146,4.950230101270076,250,93.0,93.0,0.0,0,1,1,0,119.8700636822687,533.5346971272536,250.0,783.5346971272536,1.0,0.0,1.0
TYR Boys' Team Digi Jammer,flat_baseline,6.015634176136732,167.92948761963146,2.0052113920455774,250,93.0,92.98037798595246,0.019622014047541825,1,1,1,1,116.93948677538314,520.490869382507,250.0,770.490869382507,0.9997890106016394,0.004,0.0
ENO Atlas Hammock Straps,segmented,10.206828105848018,205.5693040978492,5.699929323726321,250,125.0,120.99148015477262,4.008519845227383,1,1,1,1,138.1949930403859,461.2849445501047,250.0,711.2849445501047,0.967931841238181,0.004,0.0
ENO Atlas Hammock Straps,demand_only,9.824750799030966,205.5693040978492,5.31785201690927,250,125.0,120.60940284795556,4.390597152044435,1,1,1,1,138.08953970370436,460.93294889893406,250.0,710.932948898934,0.9648752227836446,0.004,0.0
ENO Atlas Hammock Straps,flat_baseline,6.760348173182545,205.5693040978492,2.2534493910608484,250,125.0,117.54500022210715,7.454999777892851,1,1,1,1,137.2437645789702,458.1098123805159,250.0,708.1098123805159,0.9403600017768572,0.004,0.0
Under Armour Hustle Storm Medium Duffle Bag,segmented,9.080153159336957,177.6656559997831,5.152476374917559,250,71.0,71.0,0.0,0,1,1,0,142.4615544710654,554.807280767242,250.0,804.807280767242,1.0,0.0,1.0
Under Armour Hustle Storm Medium Duffle Bag,demand_only,8.759951160140416,177.6656559997831,4.832274375721017,250,71.0,71.0,0.0,0,1,1,0,142.14135247186883,553.5602748565591,250.0,803.5602748565591,1.0,0.0,1.0
Under Armour Hustle Storm Medium Duffle Bag,flat_baseline,5.891515176629097,177.6656559997831,1.9638383922096991,250,71.0,71.0,0.0,0,1,1,0,139.27291648835754,542.3893370272234,250.0,792.3893370272234,1.0,0.0,1.0
Bridgestone e6 Straight Distance NFL Carolina,segmented,10.086522465649406,198.06266164044132,5.623754883352647,250,62.0,62.0,0.0,0,0,0,0,40.301853285870074,143.49598977305007,0.0,143.49598977305007,1.0,0.0,
Bridgestone e6 Straight Distance NFL Carolina,demand_only,9.70671763461835,198.06266164044132,5.24395005232159,250,62.0,62.0,0.0,0,0,0,0,39.92204845483901,142.14368297557343,0.0,142.14368297557343,1.0,0.0,
Bridgestone e6 Straight Distance NFL Carolina,flat_baseline,6.694151373445139,198.06266164044132,2.23138379114838,250,62.0,62.0,0.0,0,0,0,0,36.9094821936658,131.41734802671616,0.0,131.41734802671616,1.0,0.0,
